,open,high,low,close,volume,value
2025-10-21 01:45:00,166039000.0,166523000.0,165800000.0,166505000.0,13.47974247,2237475064.79599
2025-10-21 02:00:00,166500000.0,166929000.0,166051000.0,166200000.0,10.26894281,1710070681.23223
2025-10-21 02:15:00,166200000.0,166353000.0,165907000.0,165988000.0,2.53976427,421936718.5947
2025-10-21 02:30:00,165988000.0,165988000.0,165500000.0,165565000.0,20.53527447,3402719620.22952
2025-10-21 02:45:00,165565000.0,166327000.0,165562000.0,165866000.0,3.61406913,599683110.69872
2025-10-21 03:00:00,165977000.0,166337000.0,165854000.0,166000000.0,2.25900053,375178610.80715
2025-10-21 03:15:00,166000000.0,166489000.0,165950000.0,166458000.0,3.5143068,583847665.18886
2025-10-21 03:30:00,166489000.0,166550000.0,166244000.0,166542000.0,3.24595097,540444597.58634
2025-10-21 03:45:00,166542000.0,166689000.0,166439000.0,166545000.0,4.01347007,668424960.07452
2025-10-21 04:00:00,166663000.0,166681000.0,166159000.0,166179000.0,2.49878585,416046451.63782
2025-10-21 04:15:00,166265000.0,166395000.0,165877000.0,166246000.0,2.27969746,378542360.08537
2025-10-21 04:30:00,166246000.0,166410000.0,166000000.0,166000000.0,6.01025985,998730139.01889
2025-10-21 04:45:00,166026000.0,166236000.0,165754000.0,165934000.0,10.6408791,1766470318.94605
2025-10-21 05:00:00,165931000.0,166456000.0,165720000.0,166127000.0,4.3571262,723324814.32331
2025-10-21 05:15:00,166130000.0,166346000.0,166000000.0,166319000.0,3.09806554,514767950.96231
2025-10-21 05:30:00,166310000.0,166314000.0,166001000.0,166228000.0,2.58536846,429596273.73509
2025-10-21 05:45:00,166298000.0,166399000.0,166170000.0,166306000.0,3.16342999,525953906.12559
2025-10-21 06:00:00,166306000.0,166574000.0,166238000.0,166355000.0,5.28578243,879981902.21489
2025-10-21 06:15:00,166355000.0,166414000.0,166163000.0,166281000.0,6.69507616,1113151141.33379
2025-10-21 06:30:00,166279000.0,166289000.0,166000000.0,166001000.0,5.76157289,956970386.62027
2025-10-21 06:45:00,166001000.0,166001000.0,165678000.0,165848000.0,11.16754382,1852176635.21238
2025-10-21 07:00:00,165858000.0,165864000.0,165613000.0,165823000.0,6.35943749,1053958090.94103
2025-10-21 07:15:00,165823000.0,166001000.0,165823000.0,165970000.0,10.6274544,1763704964.94294
2025-10-21 07:30:00,165950000.0,166144000.0,165950000.0,166091000.0,7.37402312,1224347407.10379
2025-10-21 07:45:00,166096000.0,166189000.0,166035000.0,166080000.0,7.11331088,1181605375.30588
2025-10-21 08:00:00,166131000.0,166132000.0,165880000.0,165891000.0,11.27761129,1871850419.39232
2025-10-21 08:15:00,165880000.0,166030000.0,165800000.0,166003000.0,9.09354197,1508542451.04949
2025-10-21 08:30:00,166003000.0,166050000.0,165911000.0,165913000.0,6.11009958,1014178094.64391
2025-10-21 08:45:00,165913000.0,166085000.0,165911000.0,165911000.0,5.61582271,931891947.52277
2025-10-21 09:00:00,165911000.0,166000000.0,165395000.0,165395000.0,22.6597608,3755430982.38089
2025-10-21 09:15:00,165395000.0,165712000.0,165323000.0,165585000.0,22.97013839,3801547720.8179
2025-10-21 09:30:00,165585000.0,165868000.0,165580000.0,165854000.0,14.12003027,2338744994.24169
2025-10-21 09:45:00,165854000.0,165858000.0,165615000.0,165687000.0,9.0201761,1495031148.71891
2025-10-21 10:00:00,165680000.0,165709000.0,165403000.0,165408000.0,9.97551373,1651056609.98429
2025-10-21 10:15:00,165408000.0,165632000.0,165395000.0,165614000.0,12.05532883,1994449735.32189
2025-10-21 10:30:00,165614000.0,165679000.0,165390000.0,165391000.0,11.96484069,1980023486.0786
2025-10-21 10:45:00,165399000.0,165399000.0,164891000.0,164956000.0,42.87693118,7079254578.6877
2025-10-21 11:00:00,164956000.0,165130000.0,164475000.0,164810000.0,43.02481939,7087108365.52035
2025-10-21 11:15:00,164814000.0,164820000.0,164499000.0,164600000.0,15.65562546,2577150928.96138
2025-10-21 11:30:00,164600000.0,165067000.0,164559000.0,164988000.0,17.77553531,2929920065.35472
